eeg_mean,eeg_variance,EEG_feature
149356045.8415329,4.7463015919423414e+19,1.0000000000001128
171734330772.09604,3.8238713717718344e+25,1.0000000908342188
10770580.877693912,1.473370480577704e+17,1.0000000000000004
13683387.089140689,2.728059360578998e+17,1.0000000000000007
8472247.433015147,9.864343546708982e+16,1.0000000000000002
381259544331.26746,1.8763043645398413e+26,1.0000004457070453
9371057.725707062,1.1228414027409499e+17,1.0000000000000002
5911427633329.0205,4.4658303753716925e+28,1.0001060836450077
852288171255.5443,9.4172756609044e+26,1.000002237028378
639479428.288372,5.1905931955249316e+20,1.000000000001233
183240341865.08286,4.301980996342081e+25,1.0000001021914822
9755511.501712749,1.0762076908052947e+17,1.0000000000000002
15708756.750270694,2.0436224323941315e+17,1.0000000000000004
4958184640882.48,3.1453160761097633e+28,1.0000747154652123
10293866.597076127,1.3218038861384998e+17,1.0000000000000002
8544658905043.765,9.35038748980875e+28,1.0002221139415917
15438124.074168973,2.938150150483472e+17,1.0000000000000007
17282828.179003377,3.6344569003908435e+17,1.0000000000000009
8500812.057043036,9.350405605450389e+16,1.0000000000000002
578977100405.8712,4.286441206451941e+26,1.000001018223419
14054075.557219662,2.099570879052935e+17,1.0000000000000004
86788022217.86366,9.582180646240465e+24,1.0000000227620076
3902110571.3105307,1.1663679137807652e+22,1.0000000000277065
159719579.9267466,2.605125682085608e+19,1.000000000000062
14203537.883195646,1.520922022160231e+17,1.0000000000000004
1441792310288.7458,2.660276224675055e+27,1.000006319357766
102354173378.32915,1.3759848572679542e+25,1.000000032685856
67137733.61286186,4.321795181747804e+18,1.0000000000000102
480700529587.21136,2.9440000789122696e+26,1.0000006993330086
23786798.664081976,7.326847889252972e+17,1.0000000000000018
3263571718429.3447,1.3552798495292855e+28,1.0000321940186614
279099169410.9837,9.89604123987155e+25,1.0000002350756831
4660732692217.478,2.766170959613435e+28,1.000065709055975
9589693.657575179,1.1669776595832416e+17,1.0000000000000002
148805624011.5582,2.824398878769558e+25,1.000000067092232
15048412.957727669,1.3871796366424672e+17,1.0000000000000002
8212058.439625792,8.77567747874222e+16,1.0000000000000002
19070315.71192655,2.917018448941204e+17,1.0000000000000007
1404463939.3355818,2.4811434764209614e+21,1.0000000000058937
21541818.704789374,5.905525059172257e+17,1.0000000000000013
65704237234.612885,5.779214268074584e+24,1.0000000137282445
15904701497.30867,3.236301084716691e+23,1.0000000007687677
7799245352196.424,7.769744439611378e+28,1.0001845665288762
5386424.424320967,3.713970980787446e+16,1.0
2651461824785.0776,8.944406051968106e+27,1.0000212470048495
8581396.469170531,8.563468266027886e+16,1.0000000000000002
11312287.378390688,1.861780644848327e+17,1.0000000000000004
51796645.71945203,4.5090756098921667e+18,1.0000000000000107
805352334631.8887,8.329742649578241e+26,1.0000019786901606
990052170430.8234,1.4354090488410985e+27,1.0000034097449115
21243610.26577751,4.015035733592457e+17,1.0000000000000009
74054609868.7604,5.676252689393142e+24,1.0000000134836642
23072875137.76487,6.578363039229154e+23,1.0000000015626584
38696521.47998639,2.0095049922246477e+18,1.0000000000000047
11086888.63095349,1.489084396225889e+17,1.0000000000000004
19559728.316411868,3.6243393964339174e+17,1.0000000000000009
376270043704.16925,1.7979171512562326e+26,1.000000427086541
69285194.52147661,4.336715312684703e+18,1.0000000000000102
6611238967784.614,5.563315494930229e+28,1.0001321538742907
2908677375718.311,1.0772102062267017e+28,1.000025588608503
244172448957.10693,7.604322842602783e+25,1.0000001806370187
6904187222331.276,6.083125629285817e+28,1.0001445017131312
14316219.903161814,2.9605748049320435e+17,1.0000000000000007
4001807039488.191,2.078499832610819e+28,1.000049373760277
8532547.712231982,7.489904278030274e+16,1.0000000000000002
10616308.505261045,1.6738524520164394e+17,1.0000000000000004
11904569.942372402,1.3138764016223051e+17,1.0000000000000002
591626938586.1454,4.4612026930940365e+26,1.0000010597371665
395169197491.69366,2.0111617412428106e+26,1.0000004777417641
696469501700.2072,6.178874424712644e+26,1.0000014677617954
12255353.612704907,1.9605492804733197e+17,1.0000000000000004
359369071821.2666,1.6482927787445863e+26,1.0000003915439937
832162297563.1897,8.955484862833242e+26,1.000002127332203
2128901820038.6304,5.786014035521378e+27,1.0000137443970631
11494728.04205659,1.6819988081764704e+17,1.0000000000000004
5678570.4897852,4.0829938498537976e+16,1.0
11134602.4393829,1.4555286921392554e+17,1.0000000000000002
7924408.499819925,8.000978067815736e+16,1.0000000000000002
63021175.94640693,6.074358284471515e+18,1.0000000000000144
11095492.582770526,2.017076965655164e+17,1.0000000000000004
1434366469202.248,2.6767068951981295e+27,1.0000063583880308
232558495.49185526,4.42831578863356e+19,1.0000000000001052
592265960.8488219,4.4251532506885554e+20,1.0000000000010512
7460346.116429462,6.9731516371544376e+16,1.0000000000000002
8649128.655981973,1.0053351452472046e+17,1.0000000000000002
6636602.522471667,6.2464598893398824e+16,1.0000000000000002
256230469155.6563,8.867669517160017e+25,1.0000002106472092
325468532.5494555,8.820171358692998e+19,1.0000000000002096
37656146.28809871,1.9310702655454126e+18,1.0000000000000047
19458194.024706118,5.4329431045045184e+17,1.0000000000000013
685774815701.8169,5.9834368068291344e+26,1.0000014213365327
15399137503.450575,4.695022545361627e+23,1.0000000011152799
260625919.56869718,1.1826646582463976e+20,1.0000000000002809
888302701.3920352,1.6331436129133136e+21,1.0000000000038793
1040424102.6022832,1.2205325938745994e+21,1.0000000000028992
14587619.50527127,2.708461886126216e+17,1.0000000000000007
12084071.048397157,1.8284710391579578e+17,1.0000000000000004
10571285.958588662,1.4198894188627402e+17,1.0000000000000002
18336609.85562665,4.199002102488832e+17,1.0000000000000009
8621783305244.082,9.501024728987876e+28,1.0002256922564992
1037725395830.2186,1.373484300442497e+27,1.0000032626456605
2637125298305.8633,8.893143715963304e+27,1.0000211252336446
6517629.403068484,5.394086223423783e+16,1.0000000000000002
46049670933.3013,2.9841036046454597e+24,1.0000000070885942
13334581.421863174,2.289641733033867e+17,1.0000000000000004
29118543233116.54,2.1607727022637746e+30,1.0051328112584292
182834229141.02917,4.28798035819207e+25,1.0000001018589038
829149823792.315,8.921681342129075e+26,1.0000021193023398
470939073550.11786,3.0137444527474688e+26,1.000000715900448
7279509.600799105,6.5586104765887416e+16,1.0000000000000002
103038648.04604116,1.1857149568539634e+19,1.0000000000000282
16860174.995680306,3.709993822631859e+17,1.0000000000000009
45134415037.14729,2.701776837079378e+24,1.0000000064179404
9866979.217965925,1.2750491127402925e+17,1.0000000000000002
13528699.337463893,2.4181730067364797e+17,1.0000000000000007
467531786042.53986,2.797853763917846e+26,1.000000664616657
97306821110.49228,1.224102097296023e+25,1.0000000290779545
706331268.4948596,3.510688774385377e+20,1.000000000000834
